episode,score,global_step,avg_loss,step
315,0.0,51387,0.0037997140175020307,121
316,2.0,51569,0.0030402678321329556,182
317,0.0,51676,0.0030262459752469955,107
318,0.0,51806,0.002728194718985413,130
319,1.0,51941,0.003508008390663572,135
320,0.0,52042,0.0032241745613358188,101
321,0.0,52140,0.0029684635936862423,98
322,1.0,52265,0.002851843022566754,125
323,3.0,52512,0.00268005265018212,247
324,1.0,52680,0.0028920424421265863,168
325,1.0,52823,0.0028853335307293957,143
326,1.0,52959,0.0031821005113636816,136
327,2.0,53145,0.0032709732791890048,186
328,0.0,53247,0.0032694888225562988,102
329,2.0,53435,0.003518766182685098,188
330,2.0,53636,0.003554558579685476,201
331,3.0,53864,0.0035612415947705238,228
332,2.0,54071,0.003035616650025907,207
333,5.0,54355,0.003004201139168492,284
334,2.0,54553,0.0031445334951844084,198
335,3.0,54771,0.003198814819975394,218
336,0.0,54913,0.003341504981697551,142
337,3.0,55145,0.003488152006647052,232
338,1.0,55314,0.0036666077637040784,169
339,2.0,55527,0.0032383668215178758,213
340,1.0,55674,0.003189104824290008,147
341,1.0,55833,0.0030729593712200062,159
342,2.0,56029,0.0031420792948220156,196
343,0.0,56130,0.0029871180228234727,101
344,1.0,56280,0.0035691552293186154,150
345,0.0,56394,0.003453751282497825,114
346,2.0,56592,0.003489372778066161,198
347,2.0,56777,0.0039772126657004955,185
348,2.0,56981,0.0032537047888612793,204
349,4.0,57255,0.003064460383567385,274
350,2.0,57453,0.002979428464781486,198
351,2.0,57630,0.00309979634698592,177
352,0.0,57752,0.0029029812090573346,122
353,0.0,57878,0.003874478006569656,126
354,2.0,58069,0.003576576382224463,191
355,1.0,58198,0.0030041222125063113,129
356,1.0,58371,0.002662264693672482,173
357,0.0,58466,0.0030592108000411446,95
358,2.0,58646,0.003116321750349016,180
359,1.0,58799,0.0025208587293093017,153
360,0.0,58921,0.003228594034021253,122
361,2.0,59094,0.003280993063353206,173
362,2.0,59269,0.0028058323819979184,175
363,2.0,59432,0.002290310558929137,163
364,1.0,59590,0.0026845715470710874,158
365,1.0,59715,0.0036354785101357263,125
366,1.0,59857,0.002987976790749804,142
367,3.0,60088,0.0030405112588871843,231
368,0.0,60196,0.003756415476859561,108
369,1.0,60349,0.0032540836052332,153
370,1.0,60504,0.004093069803463051,155
371,0.0,60637,0.002712917327189507,133
372,0.0,60739,0.0025828505863679384,102
373,3.0,60969,0.0028810329118997566,230
374,0.0,61075,0.003531274188475745,106
375,1.0,61239,0.0028335361752225233,164
376,0.0,61340,0.0028038978955442187,101
377,0.0,61459,0.003633982961524575,119
378,4.0,61725,0.0030452043785594023,266
379,1.0,61868,0.0036306608412051754,143
380,1.0,62014,0.003077034830159566,146
381,1.0,62189,0.003254960945032508,175
382,2.0,62375,0.0030973408742239928,186
383,0.0,62490,0.003083032761400239,115
384,0.0,62622,0.003144507924038077,132
385,1.0,62769,0.0028639154638551104,147
386,0.0,62892,0.0024419003339801754,123
387,0.0,63001,0.002469446437125035,109
388,0.0,63115,0.0027257687685577317,114
389,0.0,63224,0.003124322644432199,109
390,1.0,63397,0.0031721384261037973,173
391,2.0,63585,0.0034825546173472485,188
392,0.0,63696,0.0031968373333576302,111
393,2.0,63912,0.0029093984956687193,216
394,0.0,64037,0.003012550245621242,125
395,1.0,64208,0.0038162856644623645,171
396,0.0,64319,0.0033368327965265284,111
397,1.0,64494,0.002977479075353975,175
398,2.0,64693,0.002819460421725313,199
399,1.0,64866,0.0032548985852367167,173
400,2.0,65077,0.00294888113751151,211
401,1.0,65218,0.0027787368692041656,141
402,2.0,65403,0.0025811563938888766,185
403,0.0,65536,0.0028009003104479666,133
404,2.0,65740,0.002837897747315533,204
405,1.0,65894,0.002784938316198078,154
406,1.0,66044,0.003388489615175179,150
407,0.0,66172,0.0032475185806966067,128
408,0.0,66295,0.0032632739249360073,123
409,2.0,66481,0.0036263592521101344,186
410,2.0,66655,0.003426569971457636,174
